26.61,19.35,12.90,12.10,8.06,4.03,3.23,8.06,8.87,15.32,20.16
21.77,29.03,24.19,16.13,11.29,8.87,8.87,12.90,12.90,12.10,15.32
17.74,23.39,29.03,22.58,14.52,10.48,11.29,16.94,16.94,16.13,12.90
17.74,19.35,29.84,28.23,22.58,12.90,13.71,18.55,24.19,13.71,12.10
12.10,13.71,20.16,24.19,27.42,19.35,13.71,16.94,12.90,8.87,7.26
8.06,9.68,11.29,18.55,20.16,22.58,19.35,17.74,12.10,7.26,9.68
6.45,11.29,13.71,18.55,20.16,20.16,19.35,18.55,14.52,10.48,8.87
12.10,13.71,18.55,16.94,14.52,15.32,20.97,23.39,17.74,12.10,11.29
11.29,12.90,14.52,12.90,12.10,11.29,13.71,16.94,23.39,13.71,15.32
14.52,16.13,13.71,12.10,8.87,6.45,8.87,12.10,16.94,20.16,20.97
15.32,13.71,12.10,11.29,10.48,4.03,4.84,6.45,13.71,13.71,20.97
