92.62,62.30,31.15,23.77,19.83,14.88,17.36,22.31,26.45,40.50,48.76
60.66,96.72,85.25,56.56,31.40,24.79,21.49,29.75,37.19,49.59,39.67
36.89,81.97,91.80,80.33,53.72,43.80,39.67,49.59,45.45,41.32,26.45
26.23,54.10,78.69,94.26,79.34,60.33,58.68,51.24,45.45,38.02,23.14
18.85,34.43,53.28,73.77,95.04,88.43,79.34,56.20,39.67,24.79,23.14
13.93,30.33,35.25,63.11,86.78,96.69,90.08,61.98,36.36,22.31,14.88
13.11,26.23,31.15,54.92,75.21,84.30,93.39,80.17,46.28,26.45,22.31
25.41,31.15,34.43,53.28,54.55,55.37,78.51,95.04,84.30,42.15,31.40
27.87,39.34,41.80,43.44,35.54,33.06,42.15,80.17,90.91,66.94,45.45
36.07,51.64,39.34,34.43,23.14,23.14,25.62,40.50,67.77,94.21,64.46
42.62,33.61,30.33,24.59,20.66,18.18,19.01,24.79,33.88,69.42,94.21
