96.72,70.49,41.80,33.61,19.01,14.88,13.22,19.83,25.62,41.32,52.89
69.67,97.54,86.89,59.02,33.06,24.79,21.49,28.10,34.71,44.63,42.98
50.00,85.25,93.44,82.79,55.37,37.19,36.36,38.84,43.80,37.19,32.23
31.15,55.74,81.97,94.26,82.64,65.29,70.25,58.68,46.28,30.58,25.62
18.85,34.43,50.00,77.87,96.69,93.39,88.43,65.29,45.45,23.97,15.70
9.84,22.95,36.89,56.56,90.08,97.52,91.74,70.25,35.54,15.70,11.57
16.39,22.13,38.52,54.92,79.34,85.95,94.21,81.82,54.55,28.93,17.36
22.13,30.33,38.52,50.82,58.68,62.81,90.08,95.04,84.30,34.71,27.27
28.69,38.52,46.72,45.90,43.80,36.36,51.24,78.51,95.87,66.12,47.11
40.16,45.08,40.16,35.25,23.97,23.97,27.27,38.02,66.94,96.69,71.07
54.92,36.07,28.69,25.41,20.66,15.70,19.83,19.01,38.84,67.77,97.52
