95.90,63.11,36.07,27.05,20.66,16.53,22.31,24.79,32.23,39.67,47.11
64.75,95.90,87.70,53.28,38.84,24.79,30.58,38.02,38.02,44.63,41.32
39.34,81.15,92.62,79.51,57.02,36.36,42.15,46.28,48.76,44.63,33.88
28.69,52.46,76.23,95.90,83.47,66.94,67.77,60.33,53.72,38.84,29.75
20.49,33.61,47.54,76.23,97.52,87.60,84.30,64.46,39.67,24.79,17.36
15.57,20.49,36.07,55.74,89.26,95.87,91.74,61.98,39.67,17.36,16.53
18.85,27.05,38.52,50.82,77.69,86.78,94.21,85.12,51.24,23.97,19.01
21.31,33.61,34.43,55.74,58.68,58.68,82.64,94.21,84.30,42.15,22.31
29.51,44.26,45.90,50.00,42.98,33.06,49.59,81.82,95.04,73.55,49.59
42.62,52.46,41.80,33.61,25.62,21.49,27.27,43.80,67.77,97.52,66.12
50.00,37.70,28.69,26.23,17.36,16.53,19.83,23.97,38.02,68.60,95.04
