94.26,64.75,36.89,18.85,12.40,14.88,15.70,17.36,24.79,32.23,52.89
69.67,97.54,84.43,52.46,29.75,25.62,22.31,27.27,35.54,45.45,42.15
40.16,82.79,94.26,80.33,48.76,31.40,31.40,39.67,42.15,43.80,24.79
29.51,50.82,72.95,95.08,85.95,63.64,60.33,62.81,57.02,39.67,26.45
19.67,34.43,45.08,80.33,96.69,86.78,79.34,65.29,47.11,30.58,23.14
17.21,23.77,31.15,66.39,87.60,94.21,86.78,69.42,42.98,23.97,19.01
13.11,18.85,32.79,58.20,78.51,84.30,92.56,86.78,52.89,25.62,16.53
22.95,24.59,35.25,60.66,65.29,64.46,89.26,91.74,85.12,39.67,31.40
27.05,33.61,43.44,56.56,46.28,42.98,54.55,83.47,93.39,58.68,39.67
36.89,44.26,43.44,40.16,30.58,29.75,27.27,45.45,62.81,95.04,59.50
56.56,45.90,32.79,23.77,20.66,16.53,16.53,28.10,41.32,62.81,96.69
