61.29,49.19,25.81,14.63,11.29,7.26,8.06,12.90,17.74,30.08,33.06
44.35,69.35,53.23,26.02,15.32,15.32,16.13,19.35,27.42,35.77,29.03
31.45,56.45,66.94,41.46,29.84,19.35,20.16,20.97,30.65,26.02,20.16
20.97,38.71,49.19,61.79,46.77,38.71,43.55,39.52,38.71,30.08,19.35
16.94,21.77,29.84,44.72,53.23,46.77,45.97,45.97,33.06,28.46,19.35
12.90,18.55,27.42,40.65,54.03,50.81,48.39,45.97,36.29,24.39,15.32
10.48,13.71,24.19,36.59,42.74,47.58,46.77,46.77,37.10,25.20,13.71
13.71,18.55,23.39,34.15,32.26,31.45,44.35,52.42,48.39,27.64,24.19
18.55,26.61,27.42,33.33,23.39,22.58,31.45,41.13,58.06,41.46,30.65
20.16,33.87,29.03,20.33,12.10,12.10,18.55,25.00,37.90,61.79,38.71
33.87,30.65,21.77,16.26,9.68,8.06,13.71,18.55,25.81,39.84,62.10
