69.35,50.00,37.10,21.95,17.74,11.29,11.29,17.74,22.58,37.40,41.94
54.03,79.03,63.71,38.21,20.97,16.94,15.32,20.16,28.23,35.77,33.06
41.13,69.35,70.97,52.03,28.23,23.39,21.77,24.19,31.45,36.59,30.65
27.42,48.39,70.97,69.92,49.19,39.52,35.48,38.71,36.29,28.46,26.61
17.74,28.23,43.55,56.91,58.06,45.16,38.71,40.32,32.26,26.02,17.74
20.97,24.19,33.87,47.15,56.45,53.23,48.39,41.94,36.29,26.83,18.55
16.94,19.35,26.61,40.65,45.97,42.74,45.16,50.81,44.35,23.58,18.55
20.16,24.19,30.65,39.84,37.90,33.87,32.26,49.19,45.97,28.46,24.19
28.23,32.26,33.87,35.77,28.23,26.61,28.23,38.71,55.65,41.46,36.29
29.03,42.74,32.26,26.83,17.74,18.55,18.55,21.77,35.48,55.28,45.16
41.94,32.26,25.00,23.58,9.68,9.68,8.87,15.32,24.19,39.84,63.71
