18.55,12.90,7.26,8.06,5.65,4.84,4.84,4.84,5.65,4.03,11.29
18.55,20.97,20.16,16.13,7.26,7.26,5.65,9.68,8.87,8.06,10.48
12.10,20.97,25.00,23.39,16.13,8.87,8.87,16.13,14.52,10.48,8.06
12.10,15.32,20.16,24.19,16.94,12.10,14.52,17.74,13.71,12.90,12.90
8.87,14.52,16.13,23.39,20.97,17.74,16.94,15.32,12.10,12.10,13.71
8.87,13.71,14.52,17.74,20.97,19.35,16.13,17.74,14.52,10.48,12.10
8.87,9.68,13.71,18.55,17.74,16.13,17.74,15.32,14.52,9.68,11.29
11.29,13.71,11.29,13.71,13.71,14.52,18.55,16.94,13.71,10.48,7.26
10.48,12.10,8.06,8.87,13.71,10.48,16.13,17.74,21.77,12.10,11.29
14.52,13.71,14.52,10.48,10.48,7.26,11.29,13.71,16.94,16.13,15.32
17.74,14.52,11.29,8.87,10.48,8.06,4.84,5.65,10.48,12.90,18.55
