93.44,52.46,31.15,14.75,8.26,4.96,4.96,10.74,23.14,30.58,49.59
34.43,93.44,65.57,28.69,15.70,12.40,12.40,18.18,24.79,47.93,23.97
17.21,64.75,93.44,67.21,28.93,19.01,17.36,32.23,42.15,29.75,13.22
7.38,25.41,57.38,90.16,66.94,47.93,50.41,49.59,33.88,17.36,9.09
7.38,15.57,30.33,69.67,90.91,74.38,76.86,47.11,28.10,13.22,6.61
5.74,9.84,24.59,54.10,80.99,90.08,77.69,50.41,27.27,12.40,7.44
4.92,7.38,19.67,45.90,74.38,80.99,90.08,57.02,26.45,12.40,4.13
8.20,15.57,32.79,48.36,47.11,43.80,65.29,93.39,68.60,14.05,10.74
10.66,30.33,39.34,29.51,22.31,19.83,33.88,71.07,95.04,37.19,13.22
22.13,44.26,26.23,16.39,8.26,5.79,9.09,20.66,48.76,95.87,42.98
50.82,35.25,25.41,16.39,9.09,5.79,9.92,19.01,33.06,51.24,95.87
